class,class size,val size,val n_correct,val accuracy
Alticorpus profundicola,1,1,0, 0.000
Alticus anjouanae,23,3,0, 0.000
Alticus arnoldorum,32,5,0, 0.000
Alticus kirkii,8,2,0, 0.000
Alticus saliens,32,5,0, 0.000
Altolamprologus calvus,263,31,20,64.516
Altolamprologus compressiceps,264,31,27,87.097
Altrichthys azurelineatus,7,2,0, 0.000
Altrichthys curatus,1,1,0, 0.000
Aluterus heudelotii,12,2,0, 0.000
Aluterus monoceros,203,23,6,26.087
Aluterus schoepfii,55,7,0, 0.000
Aluterus scriptus,312,37,28,75.676
Amanses scopas,98,12,4,33.333
Amaralia hypsiura,57,7,1,14.286
Amarsipus carlsbergi,74,8,0, 0.000
Amatitlania altoflava,7,2,0, 0.000
Amatitlania coatepeque,6,1,0, 0.000
Amatitlania kanna,33,5,1,20.000
Amatitlania myrnae,22,3,0, 0.000
Amatitlania nanolutea,13,2,0, 0.000
Amatitlania nigrofasciata,240,28,18,64.286
Amatitlania sajica,89,10,3,30.000
Amatitlania septemfasciata,5,1,0, 0.000
Amatitlania siquia,123,15,2,13.333
Amazonspinther dalmata,12,2,1,50.000
Amazonsprattus scintilla,2,1,0, 0.000
Ambassis agassizii,11,2,0, 0.000
Ambassis agrammus,7,2,0, 0.000
Ambassis ambassis,138,17,10,58.824
Ambassis buruensis,4,1,0, 0.000
Ambassis gymnocephalus,2,1,0, 0.000
Ambassis interrupta,7,2,0, 0.000
Ambassis kopsii,12,2,0, 0.000
Ambassis macleayi,7,1,0, 0.000
Ambassis macracanthus,4,1,0, 0.000
Ambassis marianus,4,1,0, 0.000
Ambassis nalua,2,1,0, 0.000
Ambastaia nigrolineata,44,6,1,16.667
Ambastaia sidthimunki,133,16,3,18.750
Ambiserrula jugosa,12,2,0, 0.000
Ambloplites ariommus,96,11,1, 9.091
Ambloplites cavifrons,17,3,0, 0.000
Ambloplites constellatus,51,7,1,14.286
Ambloplites rupestris,206,25,14,56.000
Amblyceps cerinum,3,1,0, 0.000
Amblyceps foratum,7,1,0, 0.000
Amblyceps mangois,10,2,0, 0.000
Amblyceps serratum,1,1,0, 0.000
Amblychaeturichthys hexanema,15,3,0, 0.000
Amblychaeturichthys sciistius,3,1,0, 0.000
Amblycirrhitus bimacula,23,4,0, 0.000
Amblycirrhitus earnshawi,8,1,0, 0.000
Amblycirrhitus pinos,128,15,6,40.000
Amblydoras affinis,12,2,0, 0.000
Amblydoras bolivarensis,1,1,0, 0.000
Amblydoras gonzalezi,2,1,0, 0.000
Amblydoras monitor,1,1,0, 0.000
Amblydoras nauticus,23,4,0, 0.000
Amblyeleotris arcupinna,21,3,0, 0.000
Amblyeleotris aurora,96,11,0, 0.000
Amblyeleotris bleekeri,1,1,0, 0.000
Amblyeleotris callopareia,65,8,0, 0.000
Amblyeleotris diagonalis,65,7,1,14.286
Amblyeleotris downingi,1,1,0, 0.000
Amblyeleotris ellipse,1,1,0, 0.000
Amblyeleotris fasciata,11,2,0, 0.000
Amblyeleotris fontanesii,49,6,0, 0.000
Amblyeleotris guttata,118,14,10,71.429
Amblyeleotris gymnocephala,50,7,1,14.286
Amblyeleotris japonica,61,7,4,57.143
Amblyeleotris latifasciata,77,9,1,11.111
Amblyeleotris macronema,3,1,0, 0.000
Amblyeleotris marquesas,5,1,0, 0.000
Amblyeleotris masuii,7,1,0, 0.000
Amblyeleotris melanocephala,50,7,2,28.571
Amblyeleotris morishitai,4,1,0, 0.000
Amblyeleotris neumanni,1,1,0, 0.000
Amblyeleotris ogasawarensis,15,2,0, 0.000
Amblyeleotris periophthalma,80,9,2,22.222
Amblyeleotris randalli,109,13,9,69.231
Amblyeleotris rhyax,5,1,0, 0.000
Amblyeleotris rubrimarginata,26,4,0, 0.000
Amblyeleotris steinitzi,82,10,5,50.000
Amblyeleotris stenotaeniata,4,1,0, 0.000
Amblyeleotris sungami,30,4,0, 0.000
Amblyeleotris triguttata,2,1,0, 0.000
Amblyeleotris wheeleri,76,9,5,55.556
Amblyeleotris yanoi,138,17,10,58.824
Amblygaster clupeoides,7,1,0, 0.000
Amblygaster leiogaster,13,2,0, 0.000
Amblygaster sirm,42,6,0, 0.000
Amblyglyphidodon aureus,173,21,18,85.714
Amblyglyphidodon batunai,2,1,0, 0.000
Amblyglyphidodon curacao,129,16,7,43.750
Amblyglyphidodon flavilatus,115,14,1, 7.143
Amblyglyphidodon flavopurpureus,2,1,0, 0.000
Amblyglyphidodon indicus,139,17,0, 0.000
Amblyglyphidodon leucogaster,132,16,11,68.750
Amblyglyphidodon melanopterus,23,3,0, 0.000
Amblyglyphidodon orbicularis,37,5,0, 0.000
Amblyglyphidodon ternatensis,71,8,0, 0.000
Amblygobius albimaculatus,70,8,1,12.500
Amblygobius buanensis,7,2,0, 0.000
Amblygobius bynoensis,38,5,0, 0.000
Amblygobius decussatus,99,11,6,54.545
Amblygobius esakiae,4,1,0, 0.000
Amblygobius linki,20,3,0, 0.000
Amblygobius nocturnus,31,4,2,50.000
Amblygobius phalaena,193,22,8,36.364
Amblygobius semicinctus,16,2,0, 0.000
Amblygobius sphynx,19,3,0, 0.000
Amblygobius stethophthalmus,57,8,2,25.000
Amblyopsis hoosieri,11,2,0, 0.000
Amblyopsis rosae,35,5,0, 0.000
Amblyopsis spelaea,24,3,0, 0.000
Amblypharyngodon chulabhornae,26,4,0, 0.000
