commonName,scientificName,webpage,imageUrl,attribution,licenseCode,licenseUrl
Lesser queenfish,Scomberoides lysan,http://www.fishbase.us/photos/ThumbnailsSummary.php?Genus=Scomberoides&Species=lysan#,http://d1iraxgbwuhpbw.cloudfront.net/tools/uploadphoto/uploads/1369669986_182.178.6.170.jpg,"Pakistan, Karachi, 27-5-2013, 58 cm, by Hamid Badar Osmany.",CC BY 3.0,http://creativecommons.org/licenses/by/3.0/
Longtail tuna,Thunnus tonggol,http://www.fishbase.us/photos/ThumbnailsSummary.php?Genus=Thunnus&Species=tonggol#,http://d1iraxgbwuhpbw.cloudfront.net/tools/uploadphoto/uploads/1367491467_39.48.178.157.jpg,"Pakistan, Off Ormara; April 13, 2013, by Muhammad Moazzam Khan.",CC BY 3.0,https://creativecommons.org/licenses/by/3.0/
Mackerel tuna,Euthynnus affinis,http://www.fishbase.us/photos/ThumbnailsSummary.php?Genus=Euthynnus&Species=affinis#,http://d1iraxgbwuhpbw.cloudfront.net/tools/uploadphoto/uploads/1501818780_141.101.88.192.jpg,"Pakistan, Off Ormara; April 13, 2013, by Muhammad Moazzam Khan.",CC BY 3.0,http://creativecommons.org/licenses/by/3.0/
Mahi mahi,Coryphaena hippurus,http://www.fishbase.us/photos/ThumbnailsSummary.php?Genus=Coryphaena&Species=hippurus#,http://d1iraxgbwuhpbw.cloudfront.net/tools/uploadphoto/uploads/coryphaenahippurus.jpg,"Pakistan, Karachi Fish harbour, 23 April, 2011, 59 cm collected and photographed by Hamid Badar Osmany, by Muhammad Moazzam Khan.",CC BY 3.0,http://creativecommons.org/licenses/by/3.0/
Mangrove jack,Lutjanus argentimaculatus,https://commons.wikimedia.org/wiki/File:Lutjanus_argentimaculatus_JNC2123_New_Caledonia.JPG,https://upload.wikimedia.org/wikipedia/commons/7/7f/Lutjanus_argentimaculatus_JNC2123_New_Caledonia.JPG,"Lutjanus argentimaculatus. Locality: Grande Rade, off Nouméa, New Caledonia. Fork length 445 mm, Weight 1,200 grams, date 5 March 2007. By Jean-Lou Justine.",CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/deed.en
,,http://www.fishbase.us/photos/ThumbnailsSummary.php?Genus=Lutjanus&Species=argentimaculatus#,http://d1iraxgbwuhpbw.cloudfront.net/tools/uploadphoto/uploads/1355891122_182.52.97.28.jpg,"Thailand, Kampuan mangrove forest at Amphoe Suksamran, Ranong province, southern Thailand, 2010, 116.6mmSL, by Sahat Ratmuangkhwang.",CC BY 3.0,https://creativecommons.org/licenses/by/3.0/deed.en
,,http://www.fishbase.us/photos/ThumbnailsSummary.php?Genus=Lutjanus&Species=argentimaculatus#,http://d1iraxgbwuhpbw.cloudfront.net/tools/uploadphoto/uploads/1355890582_182.52.97.28.jpg,"Thailand, Kampuan mangrove forest at Amphoe Suksamran, Ranong province, southern Thailand, 2010, 35.5mmSL, by Sahat Ratmuangkhwang. CC-BY 3.0.",CC BY 3.0,https://creativecommons.org/licenses/by/3.0/deed.en
Needleskin queenfish,Scomberoides tol,http://www.fishbase.us/photos/ThumbnailsSummary.php?Genus=Scomberoides&Species=tol#,http://d1iraxgbwuhpbw.cloudfront.net/tools/uploadphoto/uploads/1369625195_182.52.96.230.jpg,"Thailand, Kampuan market, Suksamran, Ranong , southern Thailand 2010,245.0mmSL, by Sahat Ratmuangkhwang.",CC BY 3.0,http://creativecommons.org/licenses/by/3.0/
Northern sand flathead,Platycephalus arenarius,,,,,
Northern whiting,Sillago sihama,http://www.fishbase.us/photos/ThumbnailsSummary.php?Genus=Sillago&Species=sihama#,http://d1iraxgbwuhpbw.cloudfront.net/tools/uploadphoto/uploads/1355811796_182.52.96.78.jpg,"Thailand, Kampuan mangrove forest at Amphoe Suksamran, Ranong province, southern Thailand, 2010, 90.3mmSL, by Sahat Ratmuangkhwang.",CC BY 3.0,http://creativecommons.org/licenses/by/3.0/
Pearl perch,Glaucosoma scapulare,,,,,
Pikey bream,Acanthopagrus pacificus,,,,,
River garfish,Hyporhamphus regularis,,,,,
River perch,Johniops vogleri,,,,,
Samsonfish,Seriola hippos,https://commons.wikimedia.org/wiki/File:Samson_fish.JPG,https://upload.wikimedia.org/wikipedia/commons/2/2a/Samson_fish.JPG,Samson fish (Seriola hippos) taken off Brusselton by Kare Kare.,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0/deed.en
Scaly jewfish,Nibea squammosa,,,,,
School mackerel,Scomberomorus queenslandicus,http://eol.org/data_objects/24892885,https://media.eol.org/content/2012/07/26/07/84644_orig.jpg,Scomberomorus queenslandicus by Alan Couch.,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/
Scribbled rabbitfish,Siganus spinus,,,,,
Shark mackerel,Grammatorcynus bicarinatus,,,,,
Silver javelin,Pomadasys argenteus,,,,,
Silver jewfish,Nibea soldado,http://www.fishbase.us/photos/ThumbnailsSummary.php?Genus=Nibea&Species=soldado#,http://d1iraxgbwuhpbw.cloudfront.net/tools/uploadphoto/uploads/1369732558_182.52.96.15.jpg,"Thailand, Kampuan market, Suksamran, Ranong , southern Thailand 2010,175mmSL, by Sahat Ratmuangkhwang.",CC BY 3.0,http://creativecommons.org/licenses/by/3.0/
Small spotted dart,Trachinotus baillonii,http://www.fishbase.us/photos/ThumbnailsSummary.php?Genus=Trachinotus&Species=baillonii#,http://d1iraxgbwuhpbw.cloudfront.net/tools/uploadphoto/uploads/1458209509_210.212.251.114.jpg,"India, Pampan(Gulf of Mannar), 05 March2016, TL 23cm, by Raju Saravanan.",CC BY 3.0,http://creativecommons.org/licenses/by/3.0/
Snub-nosed dart,Trachinotus blochii,http://www.fishbase.us/photos/ThumbnailsSummary.php?Genus=Trachinotus&Species=blochii#,http://d1iraxgbwuhpbw.cloudfront.net/tools/uploadphoto/uploads/1476618470_162.158.31.220.jpg,"Pakistan, Pasni , 05-04-2016, 19 cm, by Asadullah Ali Muhammad.",CC BY 3.0,http://creativecommons.org/licenses/by/3.0/
Snubnose garfish,Arrhamphus sclerolepis,,,,,
Striped barracuda,Sphyraena obtusata,http://www.fishbase.us/photos/ThumbnailsSummary.php?Genus=Sphyraena&Species=obtusata#,http://d1iraxgbwuhpbw.cloudfront.net/tools/uploadphoto/uploads/1486713311_172.68.106.90.jpg,"By Sahat Ratmuangkhwang (Andaman Coastal Research Station for Development, Faculty of Fisheries, Kasetsart University).",CC BY 3.0,http://creativecommons.org/licenses/by/3.0/
Swallow-tailed dart,Trachinotus coppingeri,https://www.istockphoto.com/au/photo/swallow-tailed-dart-gm870975950-145446603,,,,
Tarwhine,Rhabdosargus sarba,http://www.fishbase.us/photos/ThumbnailsSummary.php?Genus=Rhabdosargus&Species=sarba#,http://d1iraxgbwuhpbw.cloudfront.net/tools/uploadphoto/uploads/1372263646_182.178.54.44.jpg,"Pakistan, Karachi, 26-6-13, 18 cm, by Hamid Badar Osmany.",CC BY 3.0,https://creativecommons.org/licenses/by/3.0/
Teraglin,Atractoscion aequidens,,,,,
Three-by-two garfish,Hemiramphus robustus,,,,,
Trumpeter (winter) whiting,Sillago maculata,https://www.istockphoto.com/au/photo/trumpeter-winter-whiting-gm694235068-128277799,,,,
Wahoo,Acanthocybium solandri,http://www.fishbase.us/photos/thumbnailssummary.php?ID=89#,https://upload.wikimedia.org/wikipedia/commons/2/2f/Acanthocybium_solandri_Pakistan.jpg,"Acanthocybium solandri collected off Ormara, Pakistan. Source: Muhammad Moazzam Khan.",CC BY 3.0,https://creativecommons.org/licenses/by/3.0/deed.en
Wolf herring,Chirocentrus dorab,http://fishesofaustralia.net.au/home/species/2081#summary,http://fishesofaustralia.net.au/Images/Image/ChirocentDorabJeanLouJustine.jpg,"A Dorab Wolf Herring, Chirocentrus dorab, from a fishmarket, Nouméa, New Caledonia, Aug 2010. Source: Jean-Lou Justine / Wikimedia Commons.",CC BY-SA 1.0,https://creativecommons.org/licenses/by-sa/1.0/
Yellowtailed flathead,Platycephalus endrachtensis,,,,,
Barramundi,Lates calcarifer,,http://www.fish.gov.au/fishgov/FishSearchService/FishGalleryImageRaw?mediaId=1097,Untitled Barramundi by Fisheries Research and Development Corporation.,CC BY 3.0 AU,https://creativecommons.org/licenses/by/3.0/au/deed.en
Dusky flathead,Platycephalus fuscus,,http://www.fish.gov.au/fishgov/FishSearchService/FishGalleryImageRaw?mediaId=1083,Untitled Dusky flathead 1 by Fisheries Research and Development Corporation.,CC BY 3.0 AU,https://creativecommons.org/licenses/by/3.0/au/deed.en
,,,http://www.fish.gov.au/fishgov/FishSearchService/FishGalleryImageRaw?mediaId=1084,Untitled Dusky flathead 2 by Fisheries Research and Development Corporation.,CC BY 3.0 AU,https://creativecommons.org/licenses/by/3.0/au/deed.en
Golden snapper (fingermark),Lutjanus johnii,,http://www.fish.gov.au/fishgov/FishSearchService/FishGalleryImageRaw?mediaId=1172,Untitled Golden snapper by Fisheries Research and Development Corporation.,CC BY 3.0 AU,https://creativecommons.org/licenses/by/3.0/au/deed.en
Grey mackerel,Scomberomorus semifasciatus,,http://www.fish.gov.au/fishgov/FishSearchService/FishGalleryImageRaw?mediaId=1274,Untitled Grey mackerel by Fisheries Research and Development Corporation.,CC BY 3.0 AU,https://creativecommons.org/licenses/by/3.0/au/deed.en
King threadfin,Polydactylus macrochir,,http://www.fish.gov.au/fishgov/FishSearchService/FishGalleryImageRaw?mediaId=1235,Untitled King threadfin by Fisheries Research and Development Corporation.,CC BY 3.0 AU,https://creativecommons.org/licenses/by/3.0/au/deed.en
Luderick,Girella tricuspidata,,http://www.fish.gov.au/fishgov/FishSearchService/FishGalleryImageRaw?mediaId=1208,Untitled Luderick by Fisheries Research and Development Corporation.,CC BY 3.0 AU,https://creativecommons.org/licenses/by/3.0/au/deed.en
Mulloway,Argyrosomus japonicus,,http://www.fish.gov.au/fishgov/FishSearchService/FishGalleryImageRaw?mediaId=1200,Untitled Mulloway by Fisheries Research and Development Corporation.,CC BY 3.0 AU,https://creativecommons.org/licenses/by/3.0/au/deed.en
Sand whiting,Sillago ciliata,,http://www.fish.gov.au/fishgov/FishSearchService/FishGalleryImageRaw?mediaId=1134,Untitled Sand whiting by Fisheries Research and Development Corporation.,CC BY 3.0 AU,https://creativecommons.org/licenses/by/3.0/au/deed.en
Sea mullet,Mugil cephalus,,http://www.fish.gov.au/fishgov/FishSearchService/FishGalleryImageRaw?mediaId=1226,Untitled Sea mullet by Fisheries Research and Development Corporation.,CC BY 3.0 AU,https://creativecommons.org/licenses/by/3.0/au/deed.en
Snapper,Chrysophrys auratus,,http://www.fish.gov.au/fishgov/FishSearchService/FishGalleryImageRaw?mediaId=1192,Untitled Snapper by Fisheries Research and Development Corporation.,CC BY 3.0 AU,https://creativecommons.org/licenses/by/3.0/au/deed.en
Spanish mackerel,Scomberomorus commerson,,http://www.fish.gov.au/fishgov/FishSearchService/FishGalleryImageRaw?mediaId=1265,Untitled Spanish mackerel by Fisheries Research and Development Corporation.,CC BY 3.0 AU,https://creativecommons.org/licenses/by/3.0/au/deed.en
